"Notes"	"County"	"County Code"	"Single Race 6"	"Single Race 6 Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Wayne County, MI"	"26163"	"American Indian or Alaska Native"	"1002-5"	21	33395	62.8837	38.9262	96.1246	13.7223	0.0020%
	"Wayne County, MI"	"26163"	"Asian"	"A"	47	248914	18.8820	13.8738	25.1091	2.7542	0.0044%
	"Wayne County, MI"	"26163"	"Black or African American"	"2054-5"	2118	2713911	78.0424	74.7186	81.3661	1.6958	0.1970%
	"Wayne County, MI"	"26163"	"White"	"2106-3"	3915	3832479	102.1532	98.9533	105.3531	1.6326	0.3642%
	"Wayne County, MI"	"26163"	"More than one race"	"M"	40	188672	21.2008	15.1461	28.8696	3.3521	0.0037%
	"Wexford County, MI"	"26165"	"White"	"2106-3"	179	129191	138.5545	118.2567	158.8524	10.3561	0.0167%
	"Aitkin County, MN"	"27001"	"White"	"2106-3"	93	60171	154.5595	124.7496	189.3462	16.0271	0.0087%
	"Anoka County, MN"	"27003"	"Asian"	"A"	14	75201	Unreliable	10.1780	31.2358	4.9755	0.0013%
	"Anoka County, MN"	"27003"	"Black or African American"	"2054-5"	15	111044	Unreliable	7.5604	22.2797	3.4878	0.0014%
	"Anoka County, MN"	"27003"	"White"	"2106-3"	807	1194649	67.5512	62.8905	72.2119	2.3779	0.0751%
	"Becker County, MN"	"27005"	"American Indian or Alaska Native"	"1002-5"	13	11065	Unreliable	62.5574	200.9073	32.5852	0.0012%
	"Becker County, MN"	"27005"	"White"	"2106-3"	133	120848	110.0556	91.3513	128.7599	9.5430	0.0124%
	"Beltrami County, MN"	"27007"	"American Indian or Alaska Native"	"1002-5"	28	41488	67.4894	44.8460	97.5411	12.7543	0.0026%
	"Beltrami County, MN"	"27007"	"White"	"2106-3"	113	136951	82.5113	67.2977	97.7248	7.7620	0.0105%
	"Benton County, MN"	"27009"	"White"	"2106-3"	124	148649	83.4180	68.7353	98.1007	7.4912	0.0115%
	"Big Stone County, MN"	"27011"	"White"	"2106-3"	30	19496	153.8777	103.8213	219.6697	28.0941	0.0028%
	"Blue Earth County, MN"	"27013"	"White"	"2106-3"	151	246123	61.3514	51.5657	71.1371	4.9927	0.0140%
	"Brown County, MN"	"27015"	"White"	"2106-3"	83	98141	84.5722	67.3609	104.8399	9.2830	0.0077%
	"Carlton County, MN"	"27017"	"White"	"2106-3"	149	128224	116.2029	97.5443	134.8615	9.5197	0.0139%
	"Carver County, MN"	"27019"	"White"	"2106-3"	152	389821	38.9923	32.7934	45.1911	3.1627	0.0141%
	"Cass County, MN"	"27021"	"American Indian or Alaska Native"	"1002-5"	20	14890	134.3183	82.0457	207.4439	30.0345	0.0019%
	"Cass County, MN"	"27021"	"White"	"2106-3"	120	100819	119.0252	97.7289	140.3215	10.8655	0.0112%
	"Chippewa County, MN"	"27023"	"White"	"2106-3"	53	44556	118.9514	89.1029	155.5909	16.3392	0.0049%
	"Chisago County, MN"	"27025"	"White"	"2106-3"	161	214660	75.0023	63.4167	86.5879	5.9110	0.0150%
	"Clay County, MN"	"27027"	"White"	"2106-3"	159	231414	68.7080	58.0282	79.3879	5.4489	0.0148%
	"Clearwater County, MN"	"27029"	"White"	"2106-3"	40	30138	132.7228	94.8185	180.7313	20.9853	0.0037%
	"Cook County, MN"	"27031"	"White"	"2106-3"	11	18877	Unreliable	29.0894	104.2649	17.5697	0.0010%
	"Cottonwood County, MN"	"27033"	"White"	"2106-3"	42	41216	101.9022	73.4419	137.7422	15.7238	0.0039%
	"Crow Wing County, MN"	"27035"	"White"	"2106-3"	295	252007	117.0602	103.7018	130.4186	6.8155	0.0274%
	"Dakota County, MN"	"27037"	"Asian"	"A"	13	92524	Unreliable	7.4813	24.0266	3.8969	0.0012%
	"Dakota County, MN"	"27037"	"Black or African American"	"2054-5"	16	133032	Unreliable	6.8746	19.5314	3.0068	0.0015%
	"Dakota County, MN"	"27037"	"White"	"2106-3"	803	1437768	55.8505	51.9875	59.7135	1.9709	0.0747%
	"Dodge County, MN"	"27039"	"White"	"2106-3"	55	80541	68.2882	51.4442	88.8867	9.2080	0.0051%
	"Douglas County, MN"	"27041"	"White"	"2106-3"	157	149163	105.2540	88.7896	121.7183	8.4002	0.0146%
	"Faribault County, MN"	"27043"	"White"	"2106-3"	52	52935	98.2337	73.3658	128.8207	13.6226	0.0048%
	"Fillmore County, MN"	"27045"	"White"	"2106-3"	62	82411	75.2327	57.6801	96.4445	9.5546	0.0058%
	"Freeborn County, MN"	"27047"	"White"	"2106-3"	123	113188	108.6688	89.4640	127.8735	9.7983	0.0114%
	"Goodhue County, MN"	"27049"	"White"	"2106-3"	160	176516	90.6433	76.5980	104.6887	7.1660	0.0149%
	"Grant County, MN"	"27051"	"White"	"2106-3"	29	23326	124.3248	83.2628	178.5515	23.0865	0.0027%
	"Hennepin County, MN"	"27053"	"American Indian or Alaska Native"	"1002-5"	28	55976	50.0214	33.2387	72.2950	9.4532	0.0026%
	"Hennepin County, MN"	"27053"	"Asian"	"A"	68	383557	17.7288	13.7671	22.4755	2.1499	0.0063%
	"Hennepin County, MN"	"27053"	"Black or African American"	"2054-5"	179	704946	25.3920	21.6722	29.1119	1.8979	0.0167%
	"Hennepin County, MN"	"27053"	"White"	"2106-3"	2289	3745157	61.1189	58.6151	63.6228	1.2775	0.2129%
	"Hennepin County, MN"	"27053"	"More than one race"	"M"	12	168510	Unreliable	3.6796	12.4394	2.0557	0.0011%
	"Houston County, MN"	"27055"	"White"	"2106-3"	64	72041	88.8383	68.4162	113.4447	11.1048	0.0060%
	"Hubbard County, MN"	"27057"	"White"	"2106-3"	67	81106	82.6079	64.0203	104.9088	10.0922	0.0062%
	"Isanti County, MN"	"27059"	"White"	"2106-3"	111	155544	71.3624	58.0865	84.6384	6.7734	0.0103%
	"Itasca County, MN"	"27061"	"American Indian or Alaska Native"	"1002-5"	12	6941	Unreliable	89.3318	301.9968	49.9078	0.0011%
	"Itasca County, MN"	"27061"	"White"	"2106-3"	172	167224	102.8560	87.4844	118.2277	7.8427	0.0160%
	"Jackson County, MN"	"27063"	"White"	"2106-3"	31	37498	82.6711	56.1709	117.3450	14.8482	0.0029%
	"Kanabec County, MN"	"27065"	"White"	"2106-3"	52	62342	83.4109	62.2954	109.3825	11.5670	0.0048%
	"Kandiyohi County, MN"	"27067"	"White"	"2106-3"	134	156095	85.8452	71.3100	100.3803	7.4159	0.0125%
	"Kittson County, MN"	"27069"	"White"	"2106-3"	18	16371	Unreliable	65.1633	173.7691	25.9156	0.0017%
	"Koochiching County, MN"	"27071"	"White"	"2106-3"	61	45729	133.3946	102.0362	171.3507	17.0794	0.0057%
	"Lac qui Parle County, MN"	"27073"	"White"	"2106-3"	36	25536	140.9774	98.7392	195.1720	23.4962	0.0033%
	"Lake County, MN"	"27075"	"White"	"2106-3"	46	41416	111.0682	81.3164	148.1494	16.3761	0.0043%
	"Lake of the Woods County, MN"	"27077"	"White"	"2106-3"	22	14138	155.6090	97.5186	235.5936	33.1759	0.0020%
	"Le Sueur County, MN"	"27079"	"White"	"2106-3"	77	111055	69.3350	54.7178	86.6570	7.9015	0.0072%
	"Lincoln County, MN"	"27081"	"White"	"2106-3"	21	21859	96.0703	59.4694	146.8540	20.9643	0.0020%
	"Lyon County, MN"	"27083"	"White"	"2106-3"	89	90650	98.1798	78.8462	120.8191	10.4070	0.0083%
	"McLeod County, MN"	"27085"	"White"	"2106-3"	112	139090	80.5234	65.6103	95.4365	7.6087	0.0104%
	"Mahnomen County, MN"	"27087"	"American Indian or Alaska Native"	"1002-5"	10	9577	Unreliable	50.0720	192.0267	33.0195	0.0009%
	"Mahnomen County, MN"	"27087"	"White"	"2106-3"	13	10107	Unreliable	68.4870	219.9504	35.6738	0.0012%
	"Marshall County, MN"	"27089"	"White"	"2106-3"	38	35889	105.8820	74.9285	145.3316	17.1763	0.0035%
	"Martin County, MN"	"27091"	"White"	"2106-3"	82	76135	107.7034	85.6598	133.6879	11.8939	0.0076%
	"Meeker County, MN"	"27093"	"White"	"2106-3"	75	90572	82.8070	65.1327	103.7995	9.5617	0.0070%
	"Mille Lacs County, MN"	"27095"	"White"	"2106-3"	128	95137	134.5428	111.2345	157.8512	11.8920	0.0119%
	"Morrison County, MN"	"27097"	"White"	"2106-3"	120	129830	92.4286	75.8910	108.9661	8.4375	0.0112%
	"Mower County, MN"	"27099"	"White"	"2106-3"	147	140369	104.7240	87.7945	121.6535	8.6375	0.0137%
	"Murray County, MN"	"27101"	"White"	"2106-3"	37	31376	117.9245	83.0295	162.5436	19.3867	0.0034%
	"Nicollet County, MN"	"27103"	"White"	"2106-3"	76	126167	60.2376	47.4606	75.3964	6.9097	0.0071%
	"Nobles County, MN"	"27105"	"White"	"2106-3"	59	73500	80.2721	61.1071	103.5454	10.4505	0.0055%
	"Norman County, MN"	"27107"	"White"	"2106-3"	18	23858	Unreliable	44.7141	119.2377	17.7829	0.0017%
	"Olmsted County, MN"	"27109"	"White"	"2106-3"	294	530954	55.3720	49.0425	61.7016	3.2294	0.0273%
	"Otter Tail County, MN"	"27111"	"White"	"2106-3"	279	225253	123.8607	109.3266	138.3948	7.4153	0.0260%
	"Pennington County, MN"	"27113"	"White"	"2106-3"	46	52280	87.9878	64.4185	117.3634	12.9731	0.0043%
	"Pine County, MN"	"27115"	"White"	"2106-3"	117	107499	108.8382	89.1165	128.5599	10.0621	0.0109%
	"Pipestone County, MN"	"27117"	"White"	"2106-3"	40	33890	118.0289	84.3210	160.7223	18.6620	0.0037%
	"Polk County, MN"	"27119"	"White"	"2106-3"	138	114181	120.8607	100.6956	141.0259	10.2883	0.0128%
	"Pope County, MN"	"27121"	"White"	"2106-3"	55	43696	125.8696	94.8226	163.8370	16.9723	0.0051%
	"Ramsey County, MN"	"27123"	"Asian"	"A"	92	338974	27.1407	21.8792	33.2857	2.8296	0.0086%
	"Ramsey County, MN"	"27123"	"Black or African American"	"2054-5"	93	285472	32.5776	26.2944	39.9099	3.3781	0.0087%
	"Ramsey County, MN"	"27123"	"White"	"2106-3"	1141	1462411	78.0218	73.4946	82.5490	2.3098	0.1061%
	"Redwood County, MN"	"27127"	"White"	"2106-3"	69	54091	127.5628	99.2515	161.4384	15.3568	0.0064%
	"Renville County, MN"	"27129"	"White"	"2106-3"	69	55495	124.3355	96.7405	157.3541	14.9682	0.0064%
	"Rice County, MN"	"27131"	"White"	"2106-3"	142	237909	59.6867	49.8694	69.5039	5.0088	0.0132%
	"Rock County, MN"	"27133"	"White"	"2106-3"	45	36083	124.7125	90.9665	166.8753	18.5910	0.0042%
	"Roseau County, MN"	"27135"	"White"	"2106-3"	62	56136	110.4461	84.6779	141.5863	14.0267	0.0058%
	"St. Louis County, MN"	"27137"	"White"	"2106-3"	784	734374	106.7576	99.2846	114.2306	3.8128	0.0729%
	"Scott County, MN"	"27139"	"White"	"2106-3"	218	504906	43.1764	37.4448	48.9079	2.9243	0.0203%
	"Sherburne County, MN"	"27141"	"White"	"2106-3"	195	361442	53.9506	46.3781	61.5230	3.8635	0.0181%
	"Sibley County, MN"	"27143"	"White"	"2106-3"	42	57334	73.2550	52.7956	99.0195	11.3035	0.0039%
	"Stearns County, MN"	"27145"	"Black or African American"	"2054-5"	11	51780	Unreliable	10.6049	38.0110	6.4052	0.0010%
	"Stearns County, MN"	"27145"	"White"	"2106-3"	352	558702	63.0032	56.4213	69.5850	3.3581	0.0327%
	"Steele County, MN"	"27147"	"White"	"2106-3"	86	137495	62.5477	50.0301	77.2458	6.7447	0.0080%
	"Stevens County, MN"	"27149"	"White"	"2106-3"	37	35948	102.9264	72.4695	141.8707	16.9210	0.0034%
	"Swift County, MN"	"27151"	"White"	"2106-3"	38	35490	107.0724	75.7709	146.9655	17.3694	0.0035%
	"Todd County, MN"	"27153"	"White"	"2106-3"	89	95297	93.3922	75.0014	114.9276	9.8996	0.0083%
	"Traverse County, MN"	"27155"	"White"	"2106-3"	22	11748	187.2659	117.3577	283.5225	39.9252	0.0020%
	"Wabasha County, MN"	"27157"	"White"	"2106-3"	64	83819	76.3550	58.8025	97.5038	9.5444	0.0060%
	"Wadena County, MN"	"27159"	"White"	"2106-3"	70	52881	132.3727	103.1911	167.2449	15.8216	0.0065%
	"Waseca County, MN"	"27161"	"White"	"2106-3"	52	70670	73.5814	54.9543	96.4925	10.2039	0.0048%
	"Washington County, MN"	"27163"	"Black or African American"	"2054-5"	13	55064	Unreliable	12.5708	40.3719	6.5479	0.0012%
	"Washington County, MN"	"27163"	"White"	"2106-3"	505	899133	56.1652	51.2666	61.0639	2.4993	0.0470%
	"Watonwan County, MN"	"27165"	"White"	"2106-3"	33	41556	79.4109	54.6625	111.5223	13.8237	0.0031%
	"Wilkin County, MN"	"27167"	"White"	"2106-3"	27	23824	113.3311	74.6863	164.8911	21.8106	0.0025%
	"Winona County, MN"	"27169"	"White"	"2106-3"	120	188551	63.6433	52.2560	75.0305	5.8098	0.0112%
	"Wright County, MN"	"27171"	"White"	"2106-3"	293	527247	55.5717	49.2085	61.9349	3.2465	0.0273%
	"Yellow Medicine County, MN"	"27173"	"White"	"2106-3"	37	35777	103.4184	72.8159	142.5488	17.0019	0.0034%
	"Adams County, MS"	"28001"	"Black or African American"	"2054-5"	54	64613	83.5745	62.7837	109.0464	11.3731	0.0050%
	"Adams County, MS"	"28001"	"White"	"2106-3"	97	53628	180.8757	146.6775	220.6538	18.3651	0.0090%
	"Alcorn County, MS"	"28003"	"Black or African American"	"2054-5"	20	18205	109.8599	67.1057	169.6699	24.5654	0.0019%
	"Alcorn County, MS"	"28003"	"White"	"2106-3"	238	123685	192.4243	167.9772	216.8714	12.4730	0.0221%
	"Amite County, MS"	"28005"	"Black or African American"	"2054-5"	14	19716	Unreliable	38.8210	119.1399	18.9778	0.0013%
	"Amite County, MS"	"28005"	"White"	"2106-3"	46	29037	158.4186	115.9830	211.3082	23.3575	0.0043%
	"Attala County, MS"	"28007"	"Black or African American"	"2054-5"	40	31576	126.6785	90.5004	172.5006	20.0296	0.0037%
	"Attala County, MS"	"28007"	"White"	"2106-3"	104	39471	263.4846	212.8445	314.1247	25.8368	0.0097%
	"Benton County, MS"	"28009"	"Black or African American"	"2054-5"	11	11511	Unreliable	47.7039	170.9850	28.8127	0.0010%
	"Benton County, MS"	"28009"	"White"	"2106-3"	43	20351	211.2918	152.9119	284.6080	32.2217	0.0040%
	"Bolivar County, MS"	"28011"	"Black or African American"	"2054-5"	79	78503	100.6331	79.6722	125.4190	11.3221	0.0073%
	"Bolivar County, MS"	"28011"	"White"	"2106-3"	88	41478	212.1607	170.1592	261.3883	22.6164	0.0082%
	"Calhoun County, MS"	"28013"	"White"	"2106-3"	80	39012	205.0651	162.6043	255.2220	22.9270	0.0074%
	"Carroll County, MS"	"28015"	"White"	"2106-3"	36	25738	139.8710	97.9643	193.6402	23.3118	0.0033%
	"Chickasaw County, MS"	"28017"	"Black or African American"	"2054-5"	23	30479	75.4618	47.8360	113.2297	15.7349	0.0021%
	"Chickasaw County, MS"	"28017"	"White"	"2106-3"	75	35950	208.6231	164.0946	261.5111	24.0897	0.0070%
	"Choctaw County, MS"	"28019"	"Black or African American"	"2054-5"	15	9686	Unreliable	86.6751	255.4228	39.9854	0.0014%
	"Choctaw County, MS"	"28019"	"White"	"2106-3"	37	22256	166.2473	117.0531	229.1503	27.3309	0.0034%
	"Claiborne County, MS"	"28021"	"Black or African American"	"2054-5"	39	30924	126.1156	89.6808	172.4039	20.1947	0.0036%
	"Claiborne County, MS"	"28021"	"White"	"2106-3"	16	4157	Unreliable	220.0010	625.0431	96.2232	0.0015%
	"Clarke County, MS"	"28023"	"Black or African American"	"2054-5"	23	21379	107.5822	68.1974	161.4260	22.4324	0.0021%
	"Clarke County, MS"	"28023"	"White"	"2106-3"	74	39604	186.8498	146.7182	234.5731	21.7208	0.0069%
	"Clay County, MS"	"28025"	"Black or African American"	"2054-5"	32	45374	70.5250	48.2391	99.5601	12.4672	0.0030%
	"Clay County, MS"	"28025"	"White"	"2106-3"	71	30045	236.3122	184.5622	298.0748	28.0451	0.0066%
	"Coahoma County, MS"	"28027"	"Black or African American"	"2054-5"	97	67557	143.5825	116.4353	175.1591	14.5786	0.0090%
	"Coahoma County, MS"	"28027"	"White"	"2106-3"	34	18272	186.0771	128.8639	260.0241	31.9120	0.0032%
	"Copiah County, MS"	"28029"	"Black or African American"	"2054-5"	51	58372	87.3707	65.0536	114.8767	12.2343	0.0047%
	"Copiah County, MS"	"28029"	"White"	"2106-3"	90	52078	172.8177	138.9662	212.4223	18.2166	0.0084%
	"Covington County, MS"	"28031"	"Black or African American"	"2054-5"	30	26947	111.3296	75.1141	158.9298	20.3259	0.0028%
	"Covington County, MS"	"28031"	"White"	"2106-3"	94	45880	204.8823	165.5654	250.7247	21.1320	0.0087%
	"DeSoto County, MS"	"28033"	"Black or African American"	"2054-5"	90	228967	39.3070	31.6075	48.3150	4.1433	0.0084%
	"DeSoto County, MS"	"28033"	"White"	"2106-3"	646	488200	132.3228	122.1187	142.5269	5.2062	0.0601%
	"Forrest County, MS"	"28035"	"Black or African American"	"2054-5"	112	114103	98.1569	79.9780	116.3358	9.2750	0.0104%
	"Forrest County, MS"	"28035"	"White"	"2106-3"	278	179612	154.7781	136.5835	172.9727	9.2830	0.0259%
	"Franklin County, MS"	"28037"	"White"	"2106-3"	50	19594	255.1802	189.3998	336.4244	36.0879	0.0047%
	"George County, MS"	"28039"	"White"	"2106-3"	136	87701	155.0723	129.0096	181.1351	13.2973	0.0127%
	"Greene County, MS"	"28041"	"White"	"2106-3"	54	39686	136.0681	102.2185	177.5390	18.5165	0.0050%
	"Grenada County, MS"	"28043"	"Black or African American"	"2054-5"	49	36136	135.5988	100.3174	179.2685	19.3713	0.0046%
	"Grenada County, MS"	"28043"	"White"	"2106-3"	107	46046	232.3763	188.3456	276.4071	22.4647	0.0100%
	"Hancock County, MS"	"28045"	"Black or African American"	"2054-5"	17	16034	Unreliable	61.7636	169.7561	25.7148	0.0016%
	"Hancock County, MS"	"28045"	"White"	"2106-3"	258	165485	155.9054	136.8811	174.9296	9.7062	0.0240%
	"Harrison County, MS"	"28047"	"Asian"	"A"	13	23991	Unreliable	28.8524	92.6614	15.0288	0.0012%
	"Harrison County, MS"	"28047"	"Black or African American"	"2054-5"	129	216984	59.4514	49.1920	69.7108	5.2344	0.0120%
	"Harrison County, MS"	"28047"	"White"	"2106-3"	842	563517	149.4187	139.3261	159.5114	5.1493	0.0783%
	"Hinds County, MS"	"28049"	"Black or African American"	"2054-5"	401	672883	59.5943	53.7614	65.4273	2.9760	0.0373%
	"Hinds County, MS"	"28049"	"White"	"2106-3"	369	230093	160.3699	144.0068	176.7330	8.3485	0.0343%
	"Holmes County, MS"	"28051"	"Black or African American"	"2054-5"	49	56321	87.0013	64.3644	115.0201	12.4288	0.0046%
	"Holmes County, MS"	"28051"	"White"	"2106-3"	28	10697	261.7556	173.9340	378.3102	49.4672	0.0026%
	"Humphreys County, MS"	"28053"	"Black or African American"	"2054-5"	14	24043	Unreliable	31.8344	97.6984	15.5624	0.0013%
	"Humphreys County, MS"	"28053"	"White"	"2106-3"	13	7053	Unreliable	98.1424	315.1906	51.1208	0.0012%
	"Itawamba County, MS"	"28057"	"Black or African American"	"2054-5"	12	6558	Unreliable	94.5489	319.6340	52.8225	0.0011%
	"Itawamba County, MS"	"28057"	"White"	"2106-3"	152	85556	177.6614	149.4173	205.9055	14.4102	0.0141%
	"Jackson County, MS"	"28059"	"Black or African American"	"2054-5"	61	124735	48.9037	37.4074	62.8187	6.2615	0.0057%
	"Jackson County, MS"	"28059"	"White"	"2106-3"	522	420884	124.0247	113.3850	134.6644	5.4284	0.0486%
	"Jasper County, MS"	"28061"	"Black or African American"	"2054-5"	34	34899	97.4240	67.4690	136.1403	16.7081	0.0032%
	"Jasper County, MS"	"28061"	"White"	"2106-3"	48	29613	162.0910	119.5129	214.9083	23.3958	0.0045%
	"Jefferson County, MS"	"28063"	"Black or African American"	"2054-5"	16	24076	Unreliable	37.9857	107.9209	16.6141	0.0015%
	"Jefferson Davis County, MS"	"28065"	"Black or African American"	"2054-5"	35	26506	132.0456	91.9750	183.6437	22.3198	0.0033%
	"Jefferson Davis County, MS"	"28065"	"White"	"2106-3"	34	17161	198.1237	137.2066	276.8580	33.9779	0.0032%
	"Jones County, MS"	"28067"	"Black or African American"	"2054-5"	74	80474	91.9552	72.2050	115.4414	10.6896	0.0069%
	"Jones County, MS"	"28067"	"White"	"2106-3"	345	184766	186.7227	167.0192	206.4262	10.0528	0.0321%
	"Kemper County, MS"	"28069"	"Black or African American"	"2054-5"	20	23299	85.8406	52.4340	132.5739	19.1945	0.0019%
	"Kemper County, MS"	"28069"	"White"	"2106-3"	20	13000	153.8462	93.9738	237.6031	34.4010	0.0019%
	"Lafayette County, MS"	"28071"	"Black or African American"	"2054-5"	33	52204	63.2135	43.5130	88.7752	11.0041	0.0031%
	"Lafayette County, MS"	"28071"	"White"	"2106-3"	140	159162	87.9607	73.3900	102.5314	7.4340	0.0130%
	"Lamar County, MS"	"28073"	"Black or African American"	"2054-5"	17	54670	Unreliable	18.1145	49.7873	7.5418	0.0016%
	"Lamar County, MS"	"28073"	"White"	"2106-3"	219	192221	113.9314	98.8418	129.0209	7.6988	0.0204%
	"Lauderdale County, MS"	"28075"	"Black or African American"	"2054-5"	92	131302	70.0675	56.4842	85.9315	7.3050	0.0086%
	"Lauderdale County, MS"	"28075"	"White"	"2106-3"	316	157043	201.2188	179.0327	223.4049	11.3194	0.0294%
	"Lawrence County, MS"	"28077"	"Black or African American"	"2054-5"	16	16010	Unreliable	57.1233	162.2926	24.9844	0.0015%
	"Lawrence County, MS"	"28077"	"White"	"2106-3"	58	32464	178.6594	135.6633	230.9584	23.4591	0.0054%
	"Leake County, MS"	"28079"	"Black or African American"	"2054-5"	24	38006	63.1479	40.4601	93.9591	12.8900	0.0022%
	"Leake County, MS"	"28079"	"White"	"2106-3"	78	43968	177.4017	140.2290	221.4062	20.0868	0.0073%
	"Lee County, MS"	"28081"	"Black or African American"	"2054-5"	70	104272	67.1321	52.3328	84.8174	8.0238	0.0065%
	"Lee County, MS"	"28081"	"White"	"2106-3"	373	225640	165.3076	148.5313	182.0838	8.5593	0.0347%
	"Leflore County, MS"	"28083"	"Black or African American"	"2054-5"	68	84488	80.4848	62.4997	102.0338	9.7602	0.0063%
	"Leflore County, MS"	"28083"	"White"	"2106-3"	52	25974	200.2002	149.5195	262.5365	27.7628	0.0048%
	"Lincoln County, MS"	"28085"	"Black or African American"	"2054-5"	48	41430	115.8581	85.4245	153.6104	16.7227	0.0045%
	"Lincoln County, MS"	"28085"	"White"	"2106-3"	197	93347	211.0405	181.5699	240.5111	15.0360	0.0183%
	"Lowndes County, MS"	"28087"	"Black or African American"	"2054-5"	85	105389	80.6536	64.4229	99.7298	8.7481	0.0079%
	"Lowndes County, MS"	"28087"	"White"	"2106-3"	195	122830	158.7560	136.4732	181.0388	11.3688	0.0181%
	"Madison County, MS"	"28089"	"Black or African American"	"2054-5"	91	164372	55.3622	44.5743	67.9726	5.8035	0.0085%
	"Madison County, MS"	"28089"	"White"	"2106-3"	249	246130	101.1661	88.6002	113.7319	6.4111	0.0232%
	"Marion County, MS"	"28091"	"Black or African American"	"2054-5"	26	31034	83.7791	54.7270	122.7556	16.4304	0.0024%
	"Marion County, MS"	"28091"	"White"	"2106-3"	154	65148	236.3848	199.0499	273.7198	19.0484	0.0143%
	"Marshall County, MS"	"28093"	"Black or African American"	"2054-5"	56	65532	85.4544	64.5514	110.9694	11.4193	0.0052%
	"Marshall County, MS"	"28093"	"White"	"2106-3"	156	71553	218.0202	183.8073	252.2332	17.4556	0.0145%
	"Monroe County, MS"	"28095"	"Black or African American"	"2054-5"	29	42667	67.9682	45.5197	97.6139	12.6214	0.0027%
	"Monroe County, MS"	"28095"	"White"	"2106-3"	195	95017	205.2264	176.4212	234.0317	14.6966	0.0181%
	"Montgomery County, MS"	"28097"	"Black or African American"	"2054-5"	21	17545	119.6922	74.0919	182.9627	26.1190	0.0020%
	"Montgomery County, MS"	"28097"	"White"	"2106-3"	49	20889	234.5732	173.5396	310.1175	33.5105	0.0046%
	"Neshoba County, MS"	"28099"	"American Indian or Alaska Native"	"1002-5"	16	20197	Unreliable	45.2812	128.6480	19.8049	0.0015%
	"Neshoba County, MS"	"28099"	"Black or African American"	"2054-5"	23	24831	92.6262	58.7166	138.9846	19.3139	0.0021%
	"Neshoba County, MS"	"28099"	"White"	"2106-3"	143	68460	208.8811	174.6448	243.1174	17.4675	0.0133%
	"Newton County, MS"	"28101"	"Black or African American"	"2054-5"	27	26379	102.3541	67.4524	148.9202	19.6981	0.0025%
	"Newton County, MS"	"28101"	"White"	"2106-3"	96	51890	185.0067	149.8555	225.9247	18.8822	0.0089%
	"Noxubee County, MS"	"28103"	"Black or African American"	"2054-5"	27	29824	90.5311	59.6609	131.7182	17.4227	0.0025%
	"Noxubee County, MS"	"28103"	"White"	"2106-3"	16	10911	Unreliable	83.8185	238.1362	36.6603	0.0015%
	"Oktibbeha County, MS"	"28105"	"Black or African American"	"2054-5"	37	75689	48.8843	34.4189	67.3806	8.0365	0.0034%
	"Oktibbeha County, MS"	"28105"	"White"	"2106-3"	98	115596	84.7780	68.8270	103.3173	8.5639	0.0091%
	"Panola County, MS"	"28107"	"Black or African American"	"2054-5"	46	67714	67.9328	49.7356	90.6128	10.0161	0.0043%
	"Panola County, MS"	"28107"	"White"	"2106-3"	113	65053	173.7045	141.6767	205.7324	16.3407	0.0105%
	"Pearl River County, MS"	"28109"	"Black or African American"	"2054-5"	34	27457	123.8300	85.7560	173.0400	21.2367	0.0032%
	"Pearl River County, MS"	"28109"	"White"	"2106-3"	349	188587	185.0605	165.6446	204.4764	9.9061	0.0325%
	"Perry County, MS"	"28111"	"Black or African American"	"2054-5"	12	9047	Unreliable	68.5368	231.6967	38.2901	0.0011%
	"Perry County, MS"	"28111"	"White"	"2106-3"	78	37308	209.0704	165.2618	260.9304	23.6726	0.0073%
	"Pike County, MS"	"28113"	"Black or African American"	"2054-5"	81	85734	94.4783	75.0290	117.4280	10.4976	0.0075%
	"Pike County, MS"	"28113"	"White"	"2106-3"	155	68837	225.1696	189.7209	260.6183	18.0861	0.0144%
	"Pontotoc County, MS"	"28115"	"Black or African American"	"2054-5"	18	20021	Unreliable	53.2835	142.0895	21.1910	0.0017%
	"Pontotoc County, MS"	"28115"	"White"	"2106-3"	194	104584	185.4968	159.3937	211.5999	13.3179	0.0180%
	"Prentiss County, MS"	"28117"	"Black or African American"	"2054-5"	11	14530	Unreliable	37.7922	135.4582	22.8260	0.0010%
	"Prentiss County, MS"	"28117"	"White"	"2106-3"	171	83974	203.6345	173.1127	234.1562	15.5723	0.0159%
	"Quitman County, MS"	"28119"	"Black or African American"	"2054-5"	27	19101	141.3539	93.1536	205.6628	27.2036	0.0025%
	"Quitman County, MS"	"28119"	"White"	"2106-3"	32	6927	461.9604	315.9809	652.1496	81.6638	0.0030%
	"Rankin County, MS"	"28121"	"Black or African American"	"2054-5"	63	135669	46.4365	35.6832	59.4123	5.8505	0.0059%
	"Rankin County, MS"	"28121"	"White"	"2106-3"	542	469414	115.4631	105.7424	125.1839	4.9596	0.0504%
	"Scott County, MS"	"28123"	"Black or African American"	"2054-5"	32	43297	73.9081	50.5532	104.3361	13.0652	0.0030%
	"Scott County, MS"	"28123"	"White"	"2106-3"	105	65184	161.0825	130.2712	191.8938	15.7200	0.0098%
	"Sharkey County, MS"	"28125"	"Black or African American"	"2054-5"	13	11744	Unreliable	58.9406	189.2915	30.7012	0.0012%
