Notes,County,County Code,Single Race 6,Single Race 6 Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths,ID
,"Racine County, WI",55101.0,Black or African American,2054-5,38.0,94487.0,40.2172,28.4601,55.2013,6.5241,0.0051%,mh
,"Racine County, WI",55101.0,White,2106-3,633.0,652783.0,96.9694,89.4152,104.5236,3.8542,0.0851%,mh
,"Richland County, WI",55103.0,White,2106-3,73.0,66731.0,109.3944,85.7477,137.5471,12.8037,0.0098%,mh
,"Rock County, WI",55105.0,Black or African American,2054-5,18.0,34661.0,Unreliable,30.7778,82.0742,12.2404,0.0024%,mh
,"Rock County, WI",55105.0,White,2106-3,435.0,589194.0,73.8297,66.8915,80.7678,3.5399,0.0585%,mh
,"Rusk County, WI",55107.0,White,2106-3,50.0,54382.0,91.9422,68.2413,121.2147,13.0026,0.0067%,mh
,"St. Croix County, WI",55109.0,White,2106-3,188.0,351678.0,53.4580,45.8163,61.0997,3.8988,0.0253%,mh
,"Sauk County, WI",55111.0,White,2106-3,229.0,246166.0,93.0267,80.9778,105.0755,6.1474,0.0308%,mh
,"Sawyer County, WI",55113.0,White,2106-3,65.0,53300.0,121.9512,94.1195,155.4366,15.1262,0.0087%,mh
,"Shawano County, WI",55115.0,American Indian or Alaska Native,1002-5,11.0,14079.0,Unreliable,39.0028,139.7974,23.5572,0.0015%,mh
,"Shawano County, WI",55115.0,White,2106-3,108.0,143715.0,75.1487,60.9756,89.3219,7.2312,0.0145%,mh
,"Sheboygan County, WI",55117.0,White,2106-3,360.0,414121.0,86.9311,77.951,95.9112,4.5817,0.0484%,mh
,"Taylor County, WI",55119.0,White,2106-3,40.0,78867.0,50.7183,36.2337,69.0641,8.0193,0.0054%,mh
,"Trempealeau County, WI",55121.0,White,2106-3,113.0,114705.0,98.5136,80.3495,116.6776,9.2674,0.0152%,mh
,"Vernon County, WI",55123.0,White,2106-3,57.0,120423.0,47.3332,35.8497,61.3258,6.2694,0.0077%,mh
,"Vilas County, WI",55125.0,American Indian or Alaska Native,1002-5,11.0,9683.0,Unreliable,56.7097,203.2643,34.252,0.0015%,mh
,"Vilas County, WI",55125.0,White,2106-3,76.0,78013.0,97.4197,76.756,121.9353,11.1748,0.0102%,mh
,"Walworth County, WI",55127.0,White,2106-3,326.0,400580.0,81.3820,72.5476,90.2164,4.5073,0.0438%,mh
,"Washburn County, WI",55129.0,White,2106-3,53.0,61169.0,86.6452,64.9033,113.3336,11.9016,0.0071%,mh
,"Washington County, WI",55131.0,White,2106-3,390.0,519292.0,75.1023,67.6485,82.556,3.803,0.0524%,mh
,"Waukesha County, WI",55133.0,Asian,A,11.0,64371.0,Unreliable,8.5305,30.576,5.1524,0.0015%,mh
,"Waukesha County, WI",55133.0,Black or African American,2054-5,12.0,29676.0,Unreliable,20.8941,70.6349,11.6731,0.0016%,mh
,"Waukesha County, WI",55133.0,White,2106-3,1226.0,1495801.0,81.9628,77.3747,86.5508,2.3408,0.1648%,mh
,"Waupaca County, WI",55135.0,White,2106-3,239.0,197803.0,120.8273,105.5086,136.146,7.8157,0.0321%,mh
,"Waushara County, WI",55137.0,White,2106-3,58.0,93006.0,62.3616,47.3536,80.6167,8.1885,0.0078%,mh
,"Winnebago County, WI",55139.0,White,2106-3,621.0,628106.0,98.8687,91.0924,106.6449,3.9675,0.0835%,mh
,"Wood County, WI",55141.0,White,2106-3,282.0,277033.0,101.7929,89.912,113.6738,6.0617,0.0379%,mh
,"Albany County, WY",56001.0,White,2106-3,74.0,139630.0,52.9972,41.6145,66.5332,6.1608,0.0099%,mh
,"Big Horn County, WY",56003.0,White,2106-3,36.0,44719.0,80.5027,56.3833,111.4495,13.4171,0.0048%,mh
,"Campbell County, WY",56005.0,White,2106-3,84.0,175739.0,47.7982,38.1257,59.1775,5.2152,0.0113%,mh
,"Carbon County, WY",56007.0,White,2106-3,43.0,55422.0,77.5865,56.1494,104.5083,11.8318,0.0058%,mh
,"Converse County, WY",56009.0,White,2106-3,30.0,52539.0,57.1004,38.5257,81.5143,10.4251,0.0040%,mh
,"Crook County, WY",56011.0,White,2106-3,17.0,28867.0,Unreliable,34.3062,94.29,14.2831,0.0023%,mh
,"Fremont County, WY",56013.0,American Indian or Alaska Native,1002-5,40.0,34761.0,115.0715,82.2082,156.6951,18.1944,0.0054%,mh
,"Fremont County, WY",56013.0,White,2106-3,99.0,115982.0,85.3581,69.3748,103.92,8.5788,0.0133%,mh
,"Goshen County, WY",56015.0,White,2106-3,42.0,49632.0,84.6228,60.9885,114.3855,13.0576,0.0056%,mh
,"Hot Springs County, WY",56017.0,White,2106-3,29.0,17041.0,170.1778,113.9715,244.4043,31.6012,0.0039%,mh
,"Johnson County, WY",56019.0,White,2106-3,41.0,32403.0,126.5315,90.8015,171.6539,19.7609,0.0055%,mh
,"Laramie County, WY",56021.0,White,2106-3,250.0,366512.0,68.2106,59.7551,76.6661,4.314,0.0336%,mh
,"Lincoln County, WY",56023.0,White,2106-3,51.0,76553.0,66.6205,49.6036,87.594,9.3287,0.0069%,mh
,"Natrona County, WY",56025.0,White,2106-3,277.0,299469.0,92.4971,81.6041,103.39,5.5576,0.0372%,mh
,"Park County, WY",56029.0,White,2106-3,108.0,113126.0,95.4688,77.4633,113.4743,9.1865,0.0145%,mh
,"Platte County, WY",56031.0,White,2106-3,33.0,32694.0,100.9360,69.4793,141.7514,17.5707,0.0044%,mh
,"Sheridan County, WY",56033.0,White,2106-3,127.0,117236.0,108.3285,89.4878,127.1692,9.6126,0.0171%,mh
,"Sublette County, WY",56035.0,White,2106-3,16.0,36399.0,Unreliable,25.1255,71.3839,10.9893,0.0022%,mh
,"Sweetwater County, WY",56037.0,White,2106-3,104.0,159178.0,65.3357,52.7786,77.8928,6.4067,0.0140%,mh
,"Teton County, WY",56039.0,White,2106-3,35.0,88838.0,39.3976,27.442,54.7925,6.6594,0.0047%,mh
,"Uinta County, WY",56041.0,White,2106-3,45.0,77586.0,58.0002,42.3059,77.6088,8.6462,0.0060%,mh
,"Washakie County, WY",56043.0,White,2106-3,19.0,29456.0,Unreliable,38.8353,100.7292,14.798,0.0026%,mh
,"Weston County, WY",56045.0,White,2106-3,16.0,25538.0,Unreliable,35.8111,101.7427,15.6629,0.0022%,mh
---,,nan,,,,,,,,,,mh
"Dataset: Underlying Cause of Death, 2018-2021, Single Race",,nan,,,,,,,,,,mh
Query Parameters:,,nan,,,,,,,,,,mh
ICD-10 Codes: F01-F99 (Mental and behavioural disorders); X60-X84 (Intentional self-harm),,nan,,,,,,,,,,mh
Group By: County; Single Race 6,,nan,,,,,,,,,,mh
Show Totals: Disabled,,nan,,,,,,,,,,mh
Show Zero Values: False,,nan,,,,,,,,,,mh
Show Suppressed: False,,nan,,,,,,,,,,mh
"Calculate Rates Per: 100,000",,nan,,,,,,,,,,mh
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,nan,,,,,,,,,,mh
---,,nan,,,,,,,,,,mh
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,nan,,,,,,,,,,mh
---,,nan,,,,,,,,,,mh
"Query Date: Jul 4, 2023 7:51:31 AM",,nan,,,,,,,,,,mh
---,,nan,,,,,,,,,,mh
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,nan,,,,,,,,,,mh
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,nan,,,,,,,,,,mh
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,nan,,,,,,,,,,mh
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jul 4, 2023 7:51:31 AM",,nan,,,,,,,,,,mh
---,,nan,,,,,,,,,,mh
Messages:,,nan,,,,,,,,,,mh
1. Totals are not available for these results due to suppression constraints. More Information:,,nan,,,,,,,,,,mh
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,nan,,,,,,,,,,mh
2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows.,,nan,,,,,,,,,,mh
3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.,,nan,,,,,,,,,,mh
---,,nan,,,,,,,,,,mh
Caveats:,,nan,,,,,,,,,,mh
"1. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510).",,nan,,,,,,,,,,mh
2. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code,,nan,,,,,,,,,,mh
24005).,,nan,,,,,,,,,,mh
3. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189).,,nan,,,,,,,,,,mh
4. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,nan,,,,,,,,,,mh
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,nan,,,,,,,,,,mh
5. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,nan,,,,,,,,,,mh
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable.,,nan,,,,,,,,,,mh
6. The method used to calculate 95% confidence intervals is documented here: More information:,,nan,,,,,,,,,,mh
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Confidence-Intervals.,,nan,,,,,,,,,,mh
7. The method used to calculate standard errors is documented here: More information:,,nan,,,,,,,,,,mh
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Standard-Errors.,,nan,,,,,,,,,,mh
"8. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021",,nan,,,,,,,,,,mh
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates",,nan,,,,,,,,,,mh
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The",,nan,,,,,,,,,,mh
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal",,nan,,,,,,,,,,mh
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,nan,,,,,,,,,,mh
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019.",,nan,,,,,,,,,,mh
9. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,nan,,,,,,,,,,mh
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age,,nan,,,,,,,,,,mh
Group.,,nan,,,,,,,,,,mh
"10. Between December 22, 2020 and February 3, 2021, the county-level race-specific population figures and rates reported for",,nan,,,,,,,,,,mh
year 2018 were inaccurate for queries that reported race-specific categories for single race 6 Race groups in combination for,,nan,,,,,,,,,,mh
any specific County and/or Urbanization categories. The results to such queries erroneously reported inaccurate population,,nan,,,,,,,,,,mh
values and death rates for specific 6 Race categories at the county level. This problem applied to all queries with County,,nan,,,,,,,,,,mh
and/or Urbanization categories and the specific 6 Race categories in year 2018. We apologize for this error.,,nan,,,,,,,,,,mh
,"Autauga County, AL",1001.0,Black or African American,2054-5,20.0,46151.0,43.3360,26.4709,66.929,9.6902,0.0019%,respiratory
,"Autauga County, AL",1001.0,White,2106-3,237.0,172224.0,137.6115,120.0914,155.1316,8.9388,0.0220%,respiratory
,"Baldwin County, AL",1003.0,Black or African American,2054-5,37.0,79421.0,46.5872,32.8016,64.2144,7.6589,0.0034%,respiratory
,"Baldwin County, AL",1003.0,White,2106-3,912.0,795220.0,114.6852,107.2419,122.1286,3.7976,0.0848%,respiratory
,"Barbour County, AL",1005.0,Black or African American,2054-5,24.0,47764.0,50.2470,32.1943,74.7636,10.2566,0.0022%,respiratory
,"Barbour County, AL",1005.0,White,2106-3,74.0,48680.0,152.0131,119.3638,190.8388,17.6712,0.0069%,respiratory
,"Bibb County, AL",1007.0,Black or African American,2054-5,12.0,19070.0,Unreliable,32.5145,109.9192,18.1652,0.0011%,respiratory
,"Bibb County, AL",1007.0,White,2106-3,90.0,68474.0,131.4367,105.6909,161.5581,13.8546,0.0084%,respiratory
,"Blount County, AL",1009.0,White,2106-3,372.0,222647.0,167.0806,150.1017,184.0596,8.6627,0.0346%,respiratory
,"Bullock County, AL",1011.0,Black or African American,2054-5,17.0,28417.0,Unreliable,34.8495,95.7832,14.5093,0.0016%,respiratory
,"Butler County, AL",1013.0,Black or African American,2054-5,22.0,34873.0,63.0861,39.5354,95.5129,13.45,0.0020%,respiratory
,"Butler County, AL",1013.0,White,2106-3,84.0,40344.0,208.2094,166.0761,257.7778,22.7175,0.0078%,respiratory
,"Calhoun County, AL",1015.0,Black or African American,2054-5,52.0,97820.0,53.1589,39.7017,69.7109,7.3718,0.0048%,respiratory
,"Calhoun County, AL",1015.0,White,2106-3,654.0,342854.0,190.7517,176.1321,205.3714,7.459,0.0608%,respiratory
,"Chambers County, AL",1017.0,Black or African American,2054-5,43.0,54075.0,79.5192,57.548,107.1115,12.1266,0.0040%,respiratory
,"Chambers County, AL",1017.0,White,2106-3,154.0,76442.0,201.4599,169.6411,233.2788,16.2341,0.0143%,respiratory
,"Cherokee County, AL",1019.0,White,2106-3,208.0,96251.0,216.1017,186.7331,245.4702,14.984,0.0193%,respiratory
,"Chilton County, AL",1021.0,Black or African American,2054-5,16.0,18443.0,Unreliable,49.5876,140.8829,21.6884,0.0015%,respiratory
,"Chilton County, AL",1021.0,White,2106-3,243.0,155139.0,156.6337,136.9395,176.3279,10.0481,0.0226%,respiratory
,"Choctaw County, AL",1023.0,Black or African American,2054-5,18.0,20911.0,Unreliable,51.0156,136.042,20.289,0.0017%,respiratory
,"Choctaw County, AL",1023.0,White,2106-3,42.0,28843.0,145.6159,104.9469,196.8305,22.469,0.0039%,respiratory
,"Clarke County, AL",1025.0,Black or African American,2054-5,52.0,42147.0,123.3777,92.1446,161.7938,17.1094,0.0048%,respiratory
,"Clarke County, AL",1025.0,White,2106-3,75.0,49521.0,151.4509,119.1252,189.8452,17.488,0.0070%,respiratory
,"Clay County, AL",1027.0,White,2106-3,77.0,44787.0,171.9249,135.6797,214.8769,19.5927,0.0072%,respiratory
,"Cleburne County, AL",1029.0,White,2106-3,99.0,56914.0,173.9467,141.3751,211.7731,17.4823,0.0092%,respiratory
,"Coffee County, AL",1031.0,Black or African American,2054-5,23.0,37136.0,61.9345,39.2609,92.9321,12.9142,0.0021%,respiratory
,"Coffee County, AL",1031.0,White,2106-3,204.0,160419.0,127.1670,109.7162,144.6178,8.9035,0.0190%,respiratory
,"Colbert County, AL",1033.0,Black or African American,2054-5,30.0,36190.0,82.8958,55.9298,118.3388,15.1346,0.0028%,respiratory
,"Colbert County, AL",1033.0,White,2106-3,310.0,179041.0,173.1447,153.8701,192.4193,9.834,0.0288%,respiratory
,"Conecuh County, AL",1035.0,Black or African American,2054-5,24.0,21895.0,109.6141,70.2319,163.097,22.3749,0.0022%,respiratory
,"Conecuh County, AL",1035.0,White,2106-3,59.0,24533.0,240.4924,183.0748,310.2184,31.3094,0.0055%,respiratory
,"Coosa County, AL",1037.0,Black or African American,2054-5,10.0,12936.0,Unreliable,37.0702,142.1645,24.4456,0.0009%,respiratory
,"Coosa County, AL",1037.0,White,2106-3,70.0,28499.0,245.6227,191.4751,310.3295,29.3575,0.0065%,respiratory
,"Covington County, AL",1039.0,Black or African American,2054-5,22.0,18786.0,117.1085,73.3907,177.3034,24.9676,0.0020%,respiratory
,"Covington County, AL",1039.0,White,2106-3,243.0,125302.0,193.9315,169.5477,218.3153,12.4407,0.0226%,respiratory
,"Crenshaw County, AL",1041.0,Black or African American,2054-5,16.0,12941.0,Unreliable,70.6703,200.7808,30.9095,0.0015%,respiratory
,"Crenshaw County, AL",1041.0,White,2106-3,77.0,39233.0,196.2633,154.8871,245.2958,22.3663,0.0072%,respiratory
,"Cullman County, AL",1043.0,White,2106-3,515.0,326825.0,157.5767,143.9671,171.1863,6.9437,0.0479%,respiratory
,"Dale County, AL",1045.0,Black or African American,2054-5,35.0,41495.0,84.3475,58.7514,117.3071,14.2573,0.0033%,respiratory
,"Dale County, AL",1045.0,White,2106-3,215.0,144437.0,148.8538,128.9564,168.7512,10.1517,0.0200%,respiratory
,"Dallas County, AL",1047.0,Black or African American,2054-5,90.0,105554.0,85.2644,68.5628,104.8045,8.9877,0.0084%,respiratory
,"Dallas County, AL",1047.0,White,2106-3,92.0,40948.0,224.6752,181.1197,275.5439,23.424,0.0086%,respiratory
,"DeKalb County, AL",1049.0,White,2106-3,433.0,265178.0,163.2865,147.9063,178.6668,7.8471,0.0403%,respiratory
,"Elmore County, AL",1051.0,Black or African American,2054-5,42.0,71414.0,58.8120,42.3864,79.4968,9.0749,0.0039%,respiratory
,"Elmore County, AL",1051.0,White,2106-3,335.0,252647.0,132.5961,118.3969,146.7953,7.2445,0.0312%,respiratory
,"Escambia County, AL",1053.0,Black or African American,2054-5,40.0,46105.0,86.7585,61.9811,118.1408,13.7177,0.0037%,respiratory
,"Escambia County, AL",1053.0,White,2106-3,151.0,90875.0,166.1623,139.659,192.6656,13.5221,0.0140%,respiratory
,"Etowah County, AL",1055.0,Black or African American,2054-5,66.0,64743.0,101.9415,78.8416,129.6951,12.5481,0.0061%,respiratory
,"Etowah County, AL",1055.0,White,2106-3,738.0,330569.0,223.2514,207.1441,239.3587,8.218,0.0687%,respiratory
,"Fayette County, AL",1057.0,Black or African American,2054-5,15.0,7626.0,Unreliable,110.0885,324.4197,50.7866,0.0014%,respiratory
,"Fayette County, AL",1057.0,White,2106-3,109.0,55840.0,195.2006,158.5548,231.8463,18.6968,0.0101%,respiratory
,"Franklin County, AL",1059.0,White,2106-3,222.0,115522.0,192.1712,166.8917,217.4507,12.8977,0.0207%,respiratory
,"Geneva County, AL",1061.0,Black or African American,2054-5,14.0,9878.0,Unreliable,77.4847,237.7973,37.8787,0.0013%,respiratory
,"Geneva County, AL",1061.0,White,2106-3,176.0,91956.0,191.3959,163.1189,219.6728,14.427,0.0164%,respiratory
,"Greene County, AL",1063.0,Black or African American,2054-5,27.0,25563.0,105.6214,69.6056,153.6739,20.3268,0.0025%,respiratory
,"Greene County, AL",1063.0,White,2106-3,18.0,5878.0,Unreliable,181.4883,483.9697,72.1783,0.0017%,respiratory
,"Hale County, AL",1065.0,Black or African American,2054-5,44.0,34080.0,129.1080,93.8099,173.321,19.4638,0.0041%,respiratory
,"Hale County, AL",1065.0,White,2106-3,47.0,23922.0,196.4719,144.3597,261.2663,28.6584,0.0044%,respiratory
,"Henry County, AL",1067.0,Black or African American,2054-5,16.0,17770.0,Unreliable,51.4656,146.2186,22.5098,0.0015%,respiratory
,"Henry County, AL",1067.0,White,2106-3,69.0,49570.0,139.1971,108.3037,176.1623,16.7574,0.0064%,respiratory
,"Houston County, AL",1069.0,Black or African American,2054-5,76.0,116821.0,65.0568,51.2576,81.4283,7.4625,0.0071%,respiratory
,"Houston County, AL",1069.0,White,2106-3,354.0,291261.0,121.5405,108.8793,134.2017,6.4598,0.0329%,respiratory
,"Jackson County, AL",1071.0,White,2106-3,371.0,189701.0,195.5709,175.67,215.4719,10.1535,0.0345%,respiratory
,"Jefferson County, AL",1073.0,Asian,A,10.0,47786.0,Unreliable,10.0352,38.4849,6.6176,0.0009%,respiratory
,"Jefferson County, AL",1073.0,Black or African American,2054-5,811.0,1151498.0,70.4300,65.5827,75.2773,2.4731,0.0754%,respiratory
,"Jefferson County, AL",1073.0,White,2106-3,1899.0,1397471.0,135.8883,129.7764,142.0002,3.1183,0.1766%,respiratory
,"Lamar County, AL",1075.0,White,2106-3,98.0,48169.0,203.4504,165.1712,247.9409,20.5516,0.0091%,respiratory
,"Lauderdale County, AL",1077.0,Black or African American,2054-5,34.0,37307.0,91.1357,63.1142,127.353,15.6296,0.0032%,respiratory
,"Lauderdale County, AL",1077.0,White,2106-3,525.0,323533.0,162.2709,148.39,176.1518,7.0821,0.0488%,respiratory
,"Lawrence County, AL",1079.0,Black or African American,2054-5,22.0,14120.0,155.8074,97.6429,235.8939,33.2182,0.0020%,respiratory
,"Lawrence County, AL",1079.0,White,2106-3,195.0,103276.0,188.8144,162.3127,215.3162,13.5213,0.0181%,respiratory
,"Lee County, AL",1081.0,Black or African American,2054-5,90.0,154536.0,58.2389,46.831,71.5855,6.1389,0.0084%,respiratory
,"Lee County, AL",1081.0,White,2106-3,412.0,475234.0,86.6941,78.3228,95.0655,4.2711,0.0383%,respiratory
,"Limestone County, AL",1083.0,Black or African American,2054-5,22.0,56429.0,38.9870,24.4328,59.0268,8.3121,0.0020%,respiratory
,"Limestone County, AL",1083.0,White,2106-3,353.0,327445.0,107.8044,96.5582,119.0505,5.7378,0.0328%,respiratory
,"Lowndes County, AL",1085.0,Black or African American,2054-5,29.0,28526.0,101.6616,68.0848,146.0034,18.8781,0.0027%,respiratory
,"Lowndes County, AL",1085.0,White,2106-3,18.0,10152.0,Unreliable,105.0816,280.2181,41.7912,0.0017%,respiratory
,"Macon County, AL",1087.0,Black or African American,2054-5,48.0,58815.0,81.6118,60.174,108.205,11.7797,0.0045%,respiratory
,"Macon County, AL",1087.0,White,2106-3,18.0,12826.0,Unreliable,83.1739,221.7974,33.0784,0.0017%,respiratory
,"Madison County, AL",1089.0,Black or African American,2054-5,166.0,376220.0,44.1231,37.4109,50.8354,3.4246,0.0154%,respiratory
,"Madison County, AL",1089.0,White,2106-3,1075.0,1042220.0,103.1452,96.9792,109.3112,3.1459,0.1000%,respiratory
,"Marengo County, AL",1091.0,Black or African American,2054-5,37.0,39036.0,94.7843,66.7367,130.6478,15.5824,0.0034%,respiratory
,"Marengo County, AL",1091.0,White,2106-3,61.0,35257.0,173.0153,132.3429,222.2451,22.1523,0.0057%,respiratory
,"Marion County, AL",1093.0,White,2106-3,231.0,111103.0,207.9152,181.1027,234.7276,13.6798,0.0215%,respiratory
,"Marshall County, AL",1095.0,White,2106-3,623.0,360032.0,173.0402,159.4521,186.6283,6.9327,0.0580%,respiratory
,"Mobile County, AL",1097.0,American Indian or Alaska Native,1002-5,11.0,15474.0,Unreliable,35.4866,127.1945,21.4335,0.0010%,respiratory
,"Mobile County, AL",1097.0,Black or African American,2054-5,410.0,600542.0,68.2717,61.6631,74.8802,3.3717,0.0381%,respiratory
,"Mobile County, AL",1097.0,White,2106-3,1386.0,973061.0,142.4371,134.9382,149.936,3.826,0.1289%,respiratory
,"Monroe County, AL",1099.0,Black or African American,2054-5,36.0,33743.0,106.6888,74.7238,147.7021,17.7815,0.0033%,respiratory
,"Monroe County, AL",1099.0,White,2106-3,63.0,45177.0,139.4515,107.1587,178.4184,17.5692,0.0059%,respiratory
,"Montgomery County, AL",1101.0,Black or African American,2054-5,290.0,540036.0,53.7001,47.5195,59.8807,3.1534,0.0270%,respiratory
,"Montgomery County, AL",1101.0,White,2106-3,471.0,317065.0,148.5500,135.1341,161.9658,6.8448,0.0438%,respiratory
,"Morgan County, AL",1103.0,Black or African American,2054-5,40.0,63374.0,63.1174,45.0917,85.9482,9.9797,0.0037%,respiratory
,"Morgan County, AL",1103.0,White,2106-3,633.0,398626.0,158.7955,146.4248,171.1661,6.3116,0.0589%,respiratory
,"Perry County, AL",1105.0,Black or African American,2054-5,28.0,23785.0,117.7213,78.2246,170.1402,22.2472,0.0026%,respiratory
,"Perry County, AL",1105.0,White,2106-3,18.0,10675.0,Unreliable,99.9333,266.4894,39.7437,0.0017%,respiratory
,"Pickens County, AL",1107.0,Black or African American,2054-5,42.0,31456.0,133.5198,96.2291,180.4801,20.6026,0.0039%,respiratory
,"Pickens County, AL",1107.0,White,2106-3,96.0,45396.0,211.4724,171.2926,258.2437,21.5833,0.0089%,respiratory
,"Pike County, AL",1109.0,Black or African American,2054-5,32.0,50331.0,63.5791,43.4881,89.7546,11.2393,0.0030%,respiratory
,"Pike County, AL",1109.0,White,2106-3,97.0,75945.0,127.7240,103.5752,155.8131,12.9684,0.0090%,respiratory
,"Randolph County, AL",1111.0,Black or African American,2054-5,10.0,17289.0,Unreliable,27.7367,106.3705,18.2907,0.0009%,respiratory
,"Randolph County, AL",1111.0,White,2106-3,111.0,70558.0,157.3174,128.0508,186.5839,14.9319,0.0103%,respiratory
,"Russell County, AL",1113.0,Black or African American,2054-5,62.0,106683.0,58.1161,44.557,74.5019,7.3808,0.0058%,respiratory
,"Russell County, AL",1113.0,White,2106-3,209.0,115480.0,180.9837,156.4467,205.5208,12.5189,0.0194%,respiratory
,"St. Clair County, AL",1115.0,Black or African American,2054-5,26.0,35600.0,73.0337,47.7078,107.0112,14.3231,0.0024%,respiratory
,"St. Clair County, AL",1115.0,White,2106-3,480.0,315576.0,152.1028,138.4955,165.7101,6.9425,0.0447%,respiratory
,"Shelby County, AL",1117.0,Black or African American,2054-5,24.0,119489.0,20.0855,12.8692,29.8857,4.0999,0.0022%,respiratory
,"Shelby County, AL",1117.0,White,2106-3,586.0,724990.0,80.8287,74.2843,87.3731,3.339,0.0545%,respiratory
,"Sumter County, AL",1119.0,Black or African American,2054-5,29.0,35272.0,82.2182,55.0632,118.0793,15.2675,0.0027%,respiratory
,"Sumter County, AL",1119.0,White,2106-3,16.0,12780.0,Unreliable,71.5606,203.3102,31.2989,0.0015%,respiratory
,"Talladega County, AL",1121.0,Black or African American,2054-5,83.0,106198.0,78.1559,62.2504,96.886,8.5787,0.0077%,respiratory
,"Talladega County, AL",1121.0,White,2106-3,408.0,205857.0,198.1958,178.964,217.4277,9.8122,0.0380%,respiratory
,"Tallapoosa County, AL",1123.0,Black or African American,2054-5,34.0,43796.0,77.6327,53.7629,108.4839,13.3139,0.0032%,respiratory
,"Tallapoosa County, AL",1123.0,White,2106-3,226.0,114193.0,197.9106,172.1075,223.7136,13.1648,0.0210%,respiratory
,"Tuscaloosa County, AL",1125.0,Black or African American,2054-5,184.0,278631.0,66.0372,56.4952,75.5791,4.8683,0.0171%,respiratory
,"Tuscaloosa County, AL",1125.0,White,2106-3,602.0,548228.0,109.8083,101.0364,118.5802,4.4755,0.0560%,respiratory
,"Walker County, AL",1127.0,Black or African American,2054-5,17.0,15738.0,Unreliable,62.9253,172.9489,26.1984,0.0016%,respiratory
,"Walker County, AL",1127.0,White,2106-3,467.0,232012.0,201.2827,183.0268,219.5386,9.3143,0.0434%,respiratory
,"Washington County, AL",1129.0,White,2106-3,66.0,42279.0,156.1059,120.7323,198.6057,19.2153,0.0061%,respiratory
,"Wilcox County, AL",1131.0,Black or African American,2054-5,18.0,29456.0,Unreliable,36.2163,96.5771,14.4033,0.0017%,respiratory
,"Wilcox County, AL",1131.0,White,2106-3,17.0,11552.0,Unreliable,85.727,235.6189,35.6917,0.0016%,respiratory
,"Winston County, AL",1133.0,White,2106-3,168.0,90659.0,185.3098,157.2877,213.3318,14.297,0.0156%,respiratory
,"Anchorage Borough, AK",2020.0,American Indian or Alaska Native,1002-5,89.0,104899.0,84.8435,68.1361,104.4076,8.9934,0.0083%,respiratory
,"Anchorage Borough, AK",2020.0,Asian,A,23.0,116010.0,19.8259,12.5678,29.7485,4.134,0.0021%,respiratory
,"Anchorage Borough, AK",2020.0,Black or African American,2054-5,14.0,68666.0,Unreliable,11.1466,34.2085,5.4491,0.0013%,respiratory
,"Anchorage Borough, AK",2020.0,White,2106-3,384.0,731988.0,52.4599,47.2128,57.707,2.6771,0.0357%,respiratory
,"Anchorage Borough, AK",2020.0,More than one race,M,15.0,98905.0,Unreliable,8.4883,25.0142,3.9159,0.0014%,respiratory
,"Bethel Census Area, AK",2050.0,American Indian or Alaska Native,1002-5,39.0,61866.0,63.0395,44.8274,86.1768,10.0944,0.0036%,respiratory
,"Dillingham Census Area, AK",2070.0,American Indian or Alaska Native,1002-5,12.0,14213.0,Unreliable,43.6257,147.4819,24.3728,0.0011%,respiratory
